,flight_id,people_onboard,passengers_onboard,crew_onboard,people_dead,passenger_dead,crew_dead,ground,total_fatalities
2455,2455,28.0,24.0,4.0,28.0,24.0,4.0,0.0,28.0
2456,2456,23.0,18.0,5.0,1.0,0.0,1.0,0.0,1.0
2457,2457,19.0,15.0,4.0,18.0,14.0,4.0,0.0,18.0
2458,2458,34.0,28.0,6.0,34.0,28.0,6.0,0.0,34.0
2459,2459,9.0,7.0,2.0,9.0,7.0,2.0,0.0,9.0
2460,2460,11.0,32.0,6.0,11.0,8.0,3.0,0.0,11.0
2461,2461,22.0,18.0,4.0,21.0,17.0,4.0,0.0,21.0
2462,2462,37.0,33.0,4.0,37.0,33.0,4.0,0.0,37.0
2463,2463,106.0,98.0,8.0,92.0,85.0,7.0,0.0,92.0
2464,2464,5.0,3.0,2.0,5.0,3.0,2.0,0.0,5.0
2465,2465,12.0,8.0,4.0,12.0,8.0,4.0,2.0,14.0
2466,2466,102.0,97.0,5.0,102.0,97.0,5.0,0.0,102.0
2467,2467,17.0,14.0,3.0,17.0,14.0,3.0,0.0,17.0
2468,2468,47.0,38.0,9.0,47.0,38.0,9.0,0.0,47.0
2469,2469,11.0,9.0,2.0,11.0,9.0,2.0,0.0,11.0
2470,2470,40.0,35.0,5.0,38.0,34.0,4.0,0.0,38.0
2471,2471,31.0,0.0,31.0,23.0,0.0,23.0,0.0,23.0
2472,2472,6.0,5.0,1.0,6.0,5.0,1.0,0.0,6.0
2473,2473,45.0,40.0,5.0,45.0,40.0,5.0,0.0,45.0
2474,2474,82.0,76.0,6.0,61.0,56.0,5.0,0.0,61.0
2475,2475,35.0,30.0,5.0,7.0,6.0,1.0,0.0,7.0
2476,2476,36.0,32.0,4.0,36.0,32.0,4.0,0.0,36.0
2477,2477,19.0,12.0,7.0,17.0,10.0,7.0,0.0,17.0
2478,2478,11.0,9.0,2.0,8.0,6.0,2.0,0.0,8.0
2479,2479,63.0,57.0,6.0,23.0,22.0,1.0,0.0,23.0
2480,2480,14.0,0.0,14.0,13.0,0.0,13.0,0.0,13.0
2481,2481,30.0,26.0,4.0,5.0,5.0,0.0,0.0,5.0
2482,2482,33.0,29.0,4.0,1.0,0.0,1.0,0.0,1.0
2483,2483,6.0,4.0,2.0,6.0,4.0,2.0,0.0,6.0
2484,2484,11.0,0.0,11.0,11.0,0.0,11.0,0.0,11.0
2485,2485,6.0,4.0,2.0,6.0,4.0,2.0,0.0,6.0
2486,2486,33.0,29.0,4.0,1.0,1.0,0.0,5.0,6.0
2487,2487,13.0,10.0,3.0,13.0,10.0,3.0,0.0,13.0
2488,2488,44.0,40.0,4.0,1.0,1.0,0.0,0.0,1.0
2489,2489,8.0,5.0,3.0,5.0,3.0,2.0,0.0,5.0
2490,2490,27.0,25.0,2.0,5.0,4.0,1.0,0.0,5.0
2491,2491,112.0,105.0,7.0,112.0,105.0,7.0,0.0,112.0
