,flight_id,causes,date,route_simple
465,465,Sin datos,1937-06-20,
466,466,Insuficiente combustible,1937-07-02,New Guinea
467,467,Fuego en la cabina,1937-07-28,Belgium
468,468,Sin datos,1937-08-02,Sudan
469,469,Sin datos,1937-08-02,Panama
470,470,Fuego en la cabina,1937-08-06,Romania
471,471,Sin datos,1937-08-08,China
472,472,Sin datos,1937-08-10,Florida
473,473,Sin datos,1937-08-23,Argentina
474,474,Sin datos,1937-08-27,Papua New Guinea
475,475,Sin datos,1937-10-01,Greece
476,476,Sin datos,1937-10-06,Netherlands Indies
477,477,Sin datos,1937-10-17,Wyoming
478,478,Sin datos,1937-10-27,Off Western Africa
479,479,Sin datos,1937-11-11,Poland
480,480,Sin datos,1937-11-12,Germany
481,481,Sin datos,1937-11-12,Poland
482,482,Sin datos,1937-11-16,Belgium
483,483,Sin datos,1937-11-26,United Kingdom
484,484,Sin datos,1937-12-04,Germany
485,485,Sin datos,1937-12-05,Italy
486,486,Sin datos,1937-12-05,Italy
487,487,Sin datos,1937-12-08,France
488,488,Sin datos,1937-12-24,Czechoslovakia
489,489,Sin datos,1938-01-04,Germany
490,490,Sin datos,1938-01-10,Montana
491,491,Sin datos,1938-01-11,U.S. Samoa
492,492,Sin datos,1938-01-12,Canada
493,493,Sin datos,1938-02-02,California
494,494,Sin datos,1938-02-05,Russia
495,495,Sin datos,1938-02-09,Mexico
496,496,Sin datos,1938-02-09,France
497,497,Sin datos,1938-02-13,Mediterranean Sea
498,498,Sin datos,1938-02-22,France
499,499,Sin datos,1938-03-01,Cailifornia
500,500,Sin datos,1938-03-07,India
501,501,Sin datos,1938-03-08,Australia
502,502,Sin datos,1938-03-23,France
503,503,Sin datos,1938-04-30,Italy
504,504,Sin datos,1938-05-05,Mexico
505,505,Sin datos,1938-05-10,New Zealand
506,506,Sin datos,1938-05-16,California
507,507,Sin datos,1938-05-22,Brazil
508,508,Sin datos,1938-05-24,Ohio
509,509,Sin datos,1938-05-27,Canada
510,510,Sin datos,1938-05-27,Germany
511,511,Sin datos,1938-06-08,Tanzania
512,512,Sin datos,1938-06-19,Chile
513,513,Sin datos,1938-07-08,Montana
514,514,Sin datos,1938-07-14,Italy
515,515,Sin datos,1938-07-19,Andes
516,516,Tormenta eléctrica,1938-07-22,Romania
517,517,Sin datos,1938-07-27,Kenya
518,518,Sin datos,1938-07-29,Pacific Ocean between Manila and Guam
519,519,Sin datos,1938-08-10,Hungary
520,520,Sin datos,1938-08-10,Japan
521,521,Sin datos,1938-08-12,Mexico
522,522,Sin datos,1938-08-13,Germany
523,523,Sin datos,1938-08-15,Brazil
524,524,Sin datos,1938-08-18,Romania
525,525,Sin datos,1938-08-18,Italy
526,526,Sin datos,1938-08-24,China
527,527,Sin datos,1938-08-24,Japan
528,528,Sin datos,1938-08-29,New Mexico
529,529,Sin datos,1938-08-29,Australia
530,530,Sin datos,1938-10-01,Gambia
531,531,Sin datos,1938-10-01,Switzerland
532,532,Sin datos,1938-10-10,Germany
533,533,Sin datos,1938-10-25,Australia
534,534,Sin datos,1938-11-02,England
535,535,Sin datos,1938-11-04,Jersey
536,536,Sin datos,1938-11-14,Amsterdam
537,537,Sin datos,1938-11-18,Canada
538,538,Sin datos,1938-11-26,Gambia
539,539,Sin datos,1938-11-27,Iraq
540,540,Sin datos,1938-11-29,California
541,541,Sin datos,1938-12-02,Mexico
542,542,Sin datos,1938-12-08,Okinawa
543,543,Sin datos,1938-12-09,Netherlands
544,544,Sin datos,1938-12-12,Australia
545,545,Sin datos,1939-01-07,France
546,546,Sin datos,1939-01-13,Brazil
547,547,Fuego en la cabina,1939-01-13,Montana
548,548,Sin datos,1939-01-18,Australia
549,549,Sin datos,1939-01-21,Atlantic Ocean between N.Y. and Bermuda
550,550,Sin datos,1939-02-12,Alaska
551,551,Sin datos,1939-02-24,France
552,552,Sin datos,1939-03-14,Belgium
553,553,Sin datos,1939-03-16,Colombia
554,554,Sin datos,1939-03-18,Washington
555,555,Sin datos,1939-03-26,Oklahoma
556,556,Sin datos,1939-04-03,Morocco
557,557,Sin datos,1939-05-01,Mozambique
558,558,Sin datos,1939-05-02,Morocco
559,559,Sin datos,1939-05-08,Ecuador
560,560,Sin datos,1939-06-06,Amsterdam
561,561,Sin datos,1939-06-10,The Netherlands
562,562,Sin datos,1939-06-20,Forest-in-Teesdale. United Kingdom
563,563,Sin datos,1939-07-20,Switzerland
564,564,Sin datos,1939-08-04,Spain
565,565,Sin datos,1939-08-13,Brazil
566,566,Fuego en la cabina,1939-08-15,Denmark
567,567,Sin datos,1939-08-28,India
568,568,Sin datos,1939-08-30,Germany
569,569,Sin datos,1939-09-26,North Sea
570,570,Sin datos,1939-10-10,Colombia
571,571,Sin datos,1939-11-20,England
572,572,Sin datos,1939-12-18,South of Gibraltar
573,573,Sin datos,1939-12-21,Off Malta-Luqa
574,574,Sin datos,1939-12-24,Morocco
575,575,Sin datos,1940-01-22,Indonesia
576,576,Sin datos,1940-02-10,Italy
577,577,Sin datos,1940-02-27,Columbia
578,578,Sin datos,1940-03-01,Gulf of Oman
579,579,Sin datos,1940-03-16,Italy
580,580,Sin datos,1940-04-22,Scotland
581,581,Sin datos,1940-06-02,California
582,582,Sin datos,1940-06-14,Estonia
583,583,Sin datos,1940-06-20,France
584,584,Sin datos,1940-07-07,Gulf of Tonkin
585,585,Sin datos,1940-08-09,Germany
586,586,Sin datos,1940-08-13,Australia
587,587,Sin datos,1940-08-22,Coatia
588,588,Sin datos,1940-08-23,Romania
589,589,Tormenta eléctrica,1940-08-31,Virginia
590,590,Sin datos,1940-10-22,Croatia
591,591,Sin datos,1940-10-29,China
592,592,Sin datos,1940-10-29,Germany
