,flight_id,aircraft_type,helicopter,manufacter
4399,4399,Britten-Norman BN-2A Islander,False,Britten-Norman
4400,4400,Sikorsky S-76A,False,Sikorsky
4401,4401,de Havilland Canada DHC-6 Twin Otter 300,False,de
4402,4402,Sukhoi Su-27,False,Sukhoi
4403,4403,Iluyshin Il-86,False,Iluyshin
4404,4404,Lockheed MC-130H Hercules,False,Lockheed
4405,4405,Yunshuji Y-8D,False,Yunshuji
4406,4406,Mil Mi-26,False,Mil
4407,4407,de Havilland Canada DHC-6-300 Twin Otter,False,de
4408,4408,Antonov AN-28,False,Antonov
4409,4409,Embraer 120ER Brasilia,False,Embraer
4410,4410,ATR 42-300,False,ATR
4411,4411,de Havilland Canada DHC-3 Otter,False,de
4412,4412,Ilyushin IL-38 / Ilyushin IL-38,False,Ilyushin
4413,4413,Fokker 50,False,Fokker
